stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
837,1463,"LABURNUM + FAUQUIER",,37.584557,-77.451885,,,,,,0
853,1218,"HERMITAGE + PALMYRA",,37.579209,-77.461488,,,,,,0
855,1212,"HERMITAGE + MAPLE SHADE LN",,37.582080,-77.462037,,,,,,0
858,2313,"WESTBROOK + CRESTWOOD",,37.596457,-77.461670,,,,,,0
860,1220,"HERMITAGE + PRINCETON",,37.592912,-77.465270,,,,,,0
876,518,"BROOK + LOMBARDY",,37.562912,-77.448223,,,,,,0
878,2810,"LOMBARDY & ADMIRAL",,37.560448,-77.450359,,,,,,0
879,2811,"LOMBARDY + MAGGIE WALKER HIGH SCHOOL",,37.557583,-77.453057,,,,,,0
885,1197,"HERMITAGE + BELLEVUE",,37.590751,-77.464298,,,,,,0
887,1199,"HERMITAGE + CLAREMONT",,37.587149,-77.463855,,,,,,0
888,1207,"HERMITAGE + LABURNUM",,37.584384,-77.462729,,,,,,0
890,1211,"HERMITAGE + MAPLE SHADE LN",,37.582045,-77.462280,,,,,,0
893,1216,"HERMITAGE + OAKDALE",,37.579333,-77.461750,,,,,,0
898,292,"BOULEVARD + WESTWOOD",,37.577848,-77.461925,,,,,,0
900,287,"BOULEVARD + ELLEN",,37.575566,-77.463214,,,,,,0
901,288,"BOULEVARD + GREYHOUND BUS STATION",,37.571430,-77.465477,,,,,,0
902,289,"BOULEVARD + MOORE",,37.566682,-77.468052,,,,,,0
903,286,"BOULEVARD + CLAY",,37.564365,-77.469317,,,,,,0
905,285,"BOULEVARD + CLAY",,37.564603,-77.468924,,,,,,0
907,279,"BOULEVARD + LEIGH",,37.566472,-77.467948,,,,,,0
908,291,"BOULEVARD + THE DIAMOND",,37.572233,-77.464770,,,,,,0
909,290,"BOULEVARD + ROBINHOOD",,37.574593,-77.463483,,,,,,0
911,1206,"HERMITAGE + LABURNUM",,37.584782,-77.462513,,,,,,0
912,1193,"HERMITAGE + CLAREMONT",,37.586889,-77.463416,,,,,,0
914,1196,"HERMITAGE + BELLEVUE",,37.590270,-77.463952,,,,,,0
918,284,"BOULEVARD + BROOKLAND PARKWAY",,37.577305,-77.461951,,,,,,0
921,1349,"JACKSON + 4TH",,37.547223,-77.434992,,,,,,0
922,173,"8TH + CLAY",,37.542883,-77.433374,,,,,,0
926,156,"4TH + JACKSON",,37.547557,-77.434395,,,,,,0
927,1352,"JACKSON + 6TH",,37.546162,-77.432840,,,,,,0
